アイドル	作品	P/S	レア度	カード名	入手	実装日
シャニマスリリース	シャニマス					2018/04/24
櫻木真乃	シャニマス	W.I.N.G編				2018/04/24
風野灯織	シャニマス	W.I.N.G編				2018/04/24
八宮めぐる	シャニマス	W.I.N.G編				2018/04/24
月岡恋鐘	シャニマス	W.I.N.G編				2018/04/24
田中摩美々	シャニマス	W.I.N.G編				2018/04/24
白瀬咲耶	シャニマス	W.I.N.G編				2018/04/24
三峰結華	シャニマス	W.I.N.G編				2018/04/24
幽谷霧子	シャニマス	W.I.N.G編				2018/04/24
小宮果穂	シャニマス	W.I.N.G編				2018/04/24
園田智代子	シャニマス	W.I.N.G編				2018/04/24
西城樹里	シャニマス	W.I.N.G編				2018/04/24
杜野凛世	シャニマス	W.I.N.G編				2018/04/24
有栖川夏葉	シャニマス	W.I.N.G編				2018/04/24
大崎甘奈	シャニマス	W.I.N.G編				2018/04/24
大崎甜花	シャニマス	W.I.N.G編				2018/04/24
桑山千雪	シャニマス	W.I.N.G編				2018/04/24
田中摩美々	シャニマス	S	N	アイドルのたまご	開始時所持	2018/04/24
白瀬咲耶	シャニマス	S	N	アイドルのたまご	開始時所持	2018/04/24
有栖川夏葉	シャニマス	S	N	アイドルのたまご	開始時所持	2018/04/24
大崎甜花	シャニマス	S	N	アイドルのたまご	開始時所持	2018/04/24
櫻木真乃	シャニマス	P	R	白いツバサ	恒常	2018/04/24
櫻木真乃	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
風野灯織	シャニマス	P	R	白いツバサ	恒常	2018/04/24
風野灯織	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
八宮めぐる	シャニマス	P	R	白いツバサ	恒常	2018/04/24
八宮めぐる	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
月岡恋鐘	シャニマス	P	R	白いツバサ	恒常	2018/04/24
月岡恋鐘	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
田中摩美々	シャニマス	P	R	白いツバサ	恒常	2018/04/24
田中摩美々	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
白瀬咲耶	シャニマス	P	R	白いツバサ	恒常	2018/04/24
白瀬咲耶	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
三峰結華	シャニマス	P	R	白いツバサ	恒常	2018/04/24
三峰結華	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
幽谷霧子	シャニマス	P	R	白いツバサ	恒常	2018/04/24
幽谷霧子	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
小宮果穂	シャニマス	P	R	白いツバサ	恒常	2018/04/24
小宮果穂	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
園田智代子	シャニマス	P	R	白いツバサ	恒常	2018/04/24
園田智代子	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
西城樹里	シャニマス	P	R	白いツバサ	恒常	2018/04/24
西城樹里	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
杜野凛世	シャニマス	P	R	白いツバサ	恒常	2018/04/24
杜野凛世	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
有栖川夏葉	シャニマス	P	R	白いツバサ	恒常	2018/04/24
有栖川夏葉	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
大崎甘奈	シャニマス	P	R	白いツバサ	恒常	2018/04/24
大崎甘奈	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
大崎甜花	シャニマス	P	R	白いツバサ	恒常	2018/04/24
大崎甜花	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
桑山千雪	シャニマス	P	R	白いツバサ	恒常	2018/04/24
桑山千雪	シャニマス	S	R	283プロのヒナ	恒常	2018/04/24
杜野凛世	シャニマス	P	SR	凛凛、凛世	招待	2018/04/24
櫻木真乃	シャニマス	S	SR	天然色ピクニック	恒常	2018/04/24
風野灯織	シャニマス	S	SR	克服の特訓	恒常	2018/04/24
八宮めぐる	シャニマス	S	SR	友情の花吹雪	恒常	2018/04/24
月岡恋鐘	シャニマス	P	SR	ばってん長崎恋岬	恒常	2018/04/24
田中摩美々	シャニマス	P	SR	裏腹あまのじゃく	恒常	2018/04/24
田中摩美々	シャニマス	S	SR	カラフルポップMIX	恒常	2018/04/24
白瀬咲耶	シャニマス	P	SR	秘めやかファンサービス	恒常	2018/04/24
三峰結華	シャニマス	P	SR	カラフルメタモルフォーゼ	恒常	2018/04/24
幽谷霧子	シャニマス	P	SR	包・帯・組・曲	恒常	2018/04/24
幽谷霧子	シャニマス	S	SR	綿毛ノ想	恒常	2018/04/24
小宮果穂	シャニマス	P	SR	マメ丸と一緒！	恒常	2018/04/24
園田智代子	シャニマス	P	SR	純真チョコレート	恒常	2018/04/24
園田智代子	シャニマス	S	SR	迷走チョコロード	恒常	2018/04/24
西城樹里	シャニマス	P	SR	バッドガールの羽ばたき	恒常	2018/04/24
西城樹里	シャニマス	S	SR	意地っ張りサンセット	恒常	2018/04/24
杜野凛世	シャニマス	P	SR	想ひいろは	恒常	2018/04/24
有栖川夏葉	シャニマス	P	SR	ストイックトレーニング	恒常	2018/04/24
大崎甘奈	シャニマス	P	SR	似合うかな？	恒常	2018/04/24
大崎甘奈	シャニマス	S	SR	秘密のがんばり	恒常	2018/04/24
大崎甜花	シャニマス	P	SR	秘密のだらだらタイム	恒常	2018/04/24
桑山千雪	シャニマス	P	SR	マイフェイバリット	恒常	2018/04/24
櫻木真乃	シャニマス	P	SSR	ほわっとスマイル	恒常	2018/04/24
風野灯織	シャニマス	P	SSR	柔らかな微笑み	恒常	2018/04/24
八宮めぐる	シャニマス	P	SSR	金色の元気いっぱいガール	恒常	2018/04/24
月岡恋鐘	シャニマス	S	SSR	ふっふ～ん、ふふ～ん♪	恒常	2018/04/24
白瀬咲耶	シャニマス	S	SSR	指先の煌めき	恒常	2018/04/24
三峰結華	シャニマス	S	SSR	等身大のレイニーデイ	恒常	2018/04/24
小宮果穂	シャニマス	S	SSR	ヒーローインザパーク	恒常	2018/04/24
杜野凛世	シャニマス	S	SSR	ふれんど日和	恒常	2018/04/24
有栖川夏葉	シャニマス	S	SSR	熱血指導！	恒常	2018/04/24
大崎甜花	シャニマス	S	SSR	彩りファッションドール	恒常	2018/04/24
桑山千雪	シャニマス	S	SSR	先生のお時間	恒常	2018/04/24
イルミネーションスターズ	シャニマス	Light up the illumination				2018/04/26
櫻木真乃	シャニマス	S	SSR	トリプルイルミネーション	イベント	2018/04/26
八宮めぐる	シャニマス	S	SR	友達という灯り	イベント	2018/04/26
風野灯織	シャニマス	P	SR	手作りの心遣い	恒常	2018/04/26
幽谷霧子	シャニマス	P	SR	伝・伝・心・音	恒常	2018/04/30
月岡恋鐘	シャニマス	P	SSR	ばりうまかブルース	恒常	2018/04/30
白瀬咲耶	シャニマス	S	SSR	街角フラワーガーデン	恒常	2018/04/30
アンティーカ	シャニマス	廻る歯車、運命の瞬間				2018/05/04
田中摩美々	シャニマス	S	SSR	ゴシックデコレーション	イベント	2018/05/04
三峰結華	シャニマス	S	SR	輪になって	イベント	2018/05/04
八宮めぐる	シャニマス	S	SSR	スタァライトショウタイム	恒常	2018/05/10
櫻木真乃	シャニマス	P	SR	ナチュラルモード	イベント	2018/05/21
田中摩美々	シャニマス	S	SR	アーリー・ナチュラリィ	イベント	2018/05/21
桑山千雪	シャニマス	S	SR	ブルーミングハート	イベント	2018/05/21
大崎甘奈	シャニマス	P	SSR	スタンバイオッケー	恒常	2018/05/21
大崎甜花	シャニマス	S	SSR	身支度はお任せ☆	恒常	2018/05/21
放課後クライマックスガールズ	シャニマス	五色 爆発！合宿 クライマックス！				2018/05/31
有栖川夏葉	シャニマス	S	SSR	遊びも本気で	イベント	2018/05/31
杜野凛世	シャニマス	S	SR	百色ふぉとぐらふ	イベント	2018/05/31
西城樹里	シャニマス	P	SR	オフデーゲーム	恒常	2018/05/31
小宮果穂	シャニマス	P	SSR	第2形態アーマードタイプ	恒常	2018/05/31
園田智代子	シャニマス	S	SSR	放課後★肝試しパニック	恒常	2018/05/31
三峰結華	シャニマス	P	SR	雨色、上機嫌	恒常	2018/06/11
田中摩美々	シャニマス	P	SR	夕つ方まみみチック	イベント	2018/06/20
白瀬咲耶	シャニマス	S	SR	雲間のモーメント	イベント	2018/06/20
園田智代子	シャニマス	S	SSR	桜餅マスター……？	恒常	2018/06/20
アルストロメリア	シャニマス	満開、アルストロメリア流幸福論─つなぐ・まごころ・みっつ─				2018/06/30
大崎甘奈	シャニマス	S	SSR	幸せのりんご飴	イベント	2018/06/30
大崎甜花	シャニマス	S	SR	アイ・セーブ・ユー	イベント	2018/06/30
桑山千雪	シャニマス	P	SR	一夏一刻物語	恒常	2018/06/30
櫻木真乃	シャニマス	S	SSR	お揃いスナップ	恒常	2018/06/30
大崎甜花	シャニマス	P	SSR	事務所。静寂。大輪の華	恒常	2018/06/30
杜野凛世	シャニマス	P	SR	微熱風鈴	恒常	2018/07/11
幽谷霧子	シャニマス	S	SR	娘・娘・金・魚	恒常	2018/07/20
園田智代子	シャニマス	P	SR	よろしく♡めしませっ	イベント	2018/07/20
有栖川夏葉	シャニマス	P	SSR	アルティメットマーメイド	恒常	2018/07/20
越境イベント	シャニマス	夏は短し海でしょ！乙女たち～お待ち遠サマ★ごちそうSUMMER!!～				2018/07/31
小宮果穂	シャニマス	S	SSR	鉄板★絶品★海の家	イベント	2018/07/31
大崎甘奈	シャニマス	S	SR	光の想い出	イベント	2018/07/31
月岡恋鐘	シャニマス	P	SR	ビ～♡バップ海岸	恒常	2018/07/31
白瀬咲耶	シャニマス	P	SSR	紺碧のボーダーライン	恒常	2018/07/31
西城樹里	シャニマス	S	SSR	未知なるFROZEN	恒常	2018/07/31
櫻木真乃	シャニマス	S	SSR	スプラッシュビート	キャンペーン	2018/07/31
風野灯織	シャニマス	S	SR	遊び疲れて……	恒常	2018/08/10
八宮めぐる	シャニマス	P	SSR	夏に恋するピチカート！	限定	2018/08/10
三峰結華	シャニマス	S	SR	メロウビート・スローダウン	恒常	2018/08/20
大崎甜花	シャニマス	P	SR	シンメトリー・プールサイド	イベント	2018/08/20
西城樹里	シャニマス	P	SSR	ラムネ色の覚悟	恒常	2018/08/20
風野灯織	シャニマス	S	SSR	みんなと結んだもの	恒常	2018/08/31
田中摩美々	シャニマス	P	SSR	トリッキーナイト	恒常	2018/08/31
有栖川夏葉	シャニマス	S	SR	虹待ちレインドロップ	恒常	2018/09/20
八宮めぐる	シャニマス	P	SR	キネマ・リリックで夢見て	イベント	2018/09/20
桑山千雪	シャニマス	P	SSR	マイ・ピュア・ロマンス	恒常	2018/09/20
越境イベント	シャニマス	真夜中発、ハロウィンワールドの旅人				2018/09/30
八宮めぐる	シャニマス	S	SSR	キャプテン★パンプキン	イベント	2018/09/30
白瀬咲耶	シャニマス	S	SR	マジカル＊スカイレース	イベント	2018/09/30
櫻木真乃	シャニマス	P	SR	ぐうぜんBOOKS	恒常	2018/09/30
三峰結華	シャニマス	P	SSR	お試し／みつゴコロ	恒常	2018/09/30
幽谷霧子	シャニマス	S	SSR	霧・霧・奇・譚	恒常	2018/09/30
大崎甘奈	シャニマス	P	SR	甜花ちゃんといっしょ☆	恒常	2018/10/10
月岡恋鐘	シャニマス	S	SSR	これ、なんの話～？	恒常	2018/10/10
風野灯織	シャニマス	S	SR	魔法の階段を上って……	恒常	2018/10/19
小宮果穂	シャニマス	P	SR	デコって！ハッピークッキー	イベント	2018/10/19
杜野凛世	シャニマス	P	SSR	杜野凛世の印象派	恒常	2018/10/19
有栖川夏葉	シャニマス	P	SR	カトレアの花言葉	イベント	2018/10/31
園田智代子	シャニマス	P	SSR	ちょこ色×きらきらロマン	恒常	2018/10/31
大崎甘奈	シャニマス	S	SSR	まだ……寝ないから……	恒常	2018/10/31
有栖川夏葉	シャニマス	S	SSR	#ナッツ・チョコジェリー	恒常	2018/11/09
西城樹里	シャニマス	S	SR	3名様極楽旅行記	恒常	2018/11/19
白瀬咲耶	シャニマス	P	SR	ふれあい、おもいあい	イベント	2018/11/19
幽谷霧子	シャニマス	P	SSR	霧・音・燦・燦	恒常	2018/11/19
大崎甜花	シャニマス	P	SR	氷上バンビーナ	恒常	2018/11/30
杜野凛世	シャニマス	P	SR	ふらここのうた	イベント	2018/11/30
風野灯織	シャニマス	P	SSR	淡雪の戯れ	恒常	2018/11/30
田中摩美々	シャニマス	S	SSR	闇鍋上等	恒常	2018/11/30
越境イベント	シャニマス	オペレーション・サンタ！～包囲せよ２８３プロ～				2018/12/14
櫻木真乃	シャニマス	S	SSR	はじまりのエピローグ	イベント	2018/12/14
月岡恋鐘	シャニマス	S	SR	やけん、なんの話～！？	イベント	2018/12/14
西城樹里	シャニマス	P	SSR	とびっきりジンジャー	限定	2018/12/14
桑山千雪	シャニマス	S	SSR	永遠のCarol	限定	2018/12/14
櫻木真乃	シャニマス	S	SSR	冬街イルミネート	キャンペーン	2018/12/14
八宮めぐる	シャニマス	P	SR	小さな夜のトロイメライ	恒常	2018/12/21
小宮果穂	シャニマス	S	SR	放課後スノーガールズ！	恒常	2018/12/21
大崎甘奈	シャニマス	P	SSR	ゆらゆらアクアリウム	恒常	2018/12/21
風野灯織	シャニマス	P	SR	マフラー直して、心は解けて	イベント	2018/12/26
越境イベント	シャニマス	新春！２８３式かるた大全				2019/01/01
幽谷霧子	シャニマス	S	SSR	娘・娘・謹・賀	イベント	2019/01/01
有栖川夏葉	シャニマス	S	SR	紅いろは、白	イベント	2019/01/01
櫻木真乃	シャニマス	P	SR	しじまに華ひととき	限定	2019/01/01
月岡恋鐘	シャニマス	P	SSR	月の浜辺で待っとって	限定	2019/01/01
大崎甜花	シャニマス	S	SSR	かしまし、みっつの願いごと	限定	2019/01/01
田中摩美々	シャニマス	P	SR	そのまみみ無気力につき	恒常	2019/01/11
三峰結華	シャニマス	S	SSR	ハロー、私の「いつも通り」	恒常	2019/01/11
白瀬咲耶	シャニマス	S	SR	咲耶と摩美々のぶらり旅	恒常	2019/01/21
桑山千雪	シャニマス	P	SR	よそゆき顔のセレナーデ	イベント	2019/01/21
小宮果穂	シャニマス	P	SSR	新装備・バブルバスター！	恒常	2019/01/21
イルミネーションスターズ	シャニマス	Catch the shiny tail				2019/01/31
風野灯織	シャニマス	S	SSR	風野署長の一日勤務回想録	イベント	2019/01/31
八宮めぐる	シャニマス	S	SR	アイムカミングスーン	イベント	2019/01/31
大崎甜花	シャニマス	P	SR	お日様染めのマリーナ	恒常	2019/01/31
大崎甘奈	シャニマス	S	SSR	お菓子なティータイム	恒常	2019/01/31
櫻木真乃	シャニマス	P	SSR	ハ♡トフェルトゥギフト	限定	2019/01/31
園田智代子	シャニマス	P	SSR	あそ→と♡ちよこれいと	恒常	2019/02/08
西城樹里	シャニマス	P	SR	STARTRAIN	イベント	2019/02/18
杜野凛世	シャニマス	S	SSR	凛世夕町物語	恒常	2019/02/18
有栖川夏葉	シャニマス	P	SSR	メイドインナツハ	恒常	2019/02/18
アンティーカ	シャニマス	MAGIA L'Antica～アンティーカの5つの魔法～				2019/02/28
月岡恋鐘	シャニマス	S	SSR	SIDE：K	イベント	2019/02/28
三峰結華	シャニマス	S	SR	SIDE：Y	イベント	2019/02/28
幽谷霧子	シャニマス	P	SR	白・白・白・祈	恒常	2019/02/28
田中摩美々	シャニマス	S	SSR	夜夜中ワンダーラスト	恒常	2019/02/28
白瀬咲耶	シャニマス	P	SSR	1/60・NaturalHeart	限定	2019/02/28
三峰結華	シャニマス	P	SR	お願い、ただの少女がいい	イベント	2019/03/12
桑山千雪	シャニマス	P	SSR	シークレット・ヒロイン	恒常	2019/03/12
越境イベント	シャニマス	PiCNiC BASKET!				2019/03/22
桑山千雪	シャニマス	S	SSR	トキ・メキ・タコさん	イベント	2019/03/22
小宮果穂	シャニマス	S	SR	無敵の証！五紋章！	イベント	2019/03/22
大崎甜花	シャニマス	S	SR	楽園に背く	恒常	2019/03/22
杜野凛世	シャニマス	P	SSR	凛世花伝	恒常	2019/03/22
櫻木真乃	シャニマス	ファン感謝祭編				2019/04/01
風野灯織	シャニマス	ファン感謝祭編				2019/04/01
八宮めぐる	シャニマス	ファン感謝祭編				2019/04/01
月岡恋鐘	シャニマス	ファン感謝祭編				2019/04/01
田中摩美々	シャニマス	ファン感謝祭編				2019/04/01
白瀬咲耶	シャニマス	ファン感謝祭編				2019/04/01
三峰結華	シャニマス	ファン感謝祭編				2019/04/01
幽谷霧子	シャニマス	ファン感謝祭編				2019/04/01
小宮果穂	シャニマス	ファン感謝祭編				2019/04/01
園田智代子	シャニマス	ファン感謝祭編				2019/04/01
西城樹里	シャニマス	ファン感謝祭編				2019/04/01
杜野凛世	シャニマス	ファン感謝祭編				2019/04/01
有栖川夏葉	シャニマス	ファン感謝祭編				2019/04/01
大崎甘奈	シャニマス	ファン感謝祭編				2019/04/01
大崎甜花	シャニマス	ファン感謝祭編				2019/04/01
桑山千雪	シャニマス	ファン感謝祭編				2019/04/01
芹沢あさひ	シャニマス	W.I.N.G編				2019/04/01
芹沢あさひ	シャニマス	P	R	白いツバサ	恒常	2019/04/01
月岡恋鐘	シャニマス	S	SR	と～りゃんせ！	限定	2019/04/01
櫻木真乃	シャニマス	S	SSR	駅線上の日常	限定	2019/04/01
風野灯織	シャニマス	P	SSR	伸ばす手に乗せるのは	限定	2019/04/01
黛冬優子	シャニマス	W.I.N.G編				2019/04/05
黛冬優子	シャニマス	P	R	白いツバサ	恒常	2019/04/05
和泉愛依	シャニマス	W.I.N.G編				2019/04/09
和泉愛依	シャニマス	P	R	白いツバサ	恒常	2019/04/09
芹沢あさひ	シャニマス	S	R	283プロのヒナ	恒常	2019/04/12
黛冬優子	シャニマス	S	R	283プロのヒナ	恒常	2019/04/12
和泉愛依	シャニマス	S	R	283プロのヒナ	恒常	2019/04/12
田中摩美々	シャニマス	P	SSR	摩的・アンチテーゼ	恒常	2019/04/12
有栖川夏葉	シャニマス	S	SSR	月刊CLIMAX	恒常	2019/04/12
八宮めぐる	シャニマス	P	SR	チエルアルコは流星の	恒常	2019/04/19
幽谷霧子	シャニマス	P	SSR	夕・音・鳴・鳴	恒常	2019/04/19
月岡恋鐘	シャニマス	P	SR	は～と♡に火をつけて	イベント	2019/04/24
アルストロメリア	シャニマス	完録、クエストロメリア！ ～サイコロ編～				2019/04/29
大崎甘奈	シャニマス	S	SSR	ハッピーの答えはどこに？	イベント	2019/04/29
黛冬優子	シャニマス	P	SR	ザ・冬優子イズム	恒常	2019/04/29
八宮めぐる	シャニマス	S	SSR	花笑み咲匂う	限定	2019/04/29
大崎甜花	シャニマス	P	SSR	好きなものはなんですか？	限定	2019/04/29
西城樹里	シャニマス	S	SR	グッド・ラック・ボール	イベント	2019/05/10
三峰結華	シャニマス	P	SSR	それなら目をつぶりましょう	恒常	2019/05/10
杜野凛世	シャニマス	S	SR	をとめ大学	恒常	2019/05/20
芹沢あさひ	シャニマス	P	SR	さかさま世界	恒常	2019/05/20
幽谷霧子	シャニマス	P	SR	天・天・白・布	イベント	2019/05/20
月岡恋鐘	シャニマス	P	SSR	風吹く丘にはよ来んね	恒常	2019/05/20
放課後クライマックスガールズ	シャニマス	轟！-とどろき- 紅蘭偉魔空珠†番外地				2019/05/31
園田智代子	シャニマス	S	SSR	紅蘭偉魔空珠に挑め！	イベント	2019/05/31
有栖川夏葉	シャニマス	P	SSR	Ring a bell	限定	2019/05/31
小宮果穂	シャニマス	S	SSR	雨のち、マイヒーロー	限定	2019/05/31
和泉愛依	シャニマス	P	SR	気になる！？染めちゃう！？	恒常	2019/06/10
櫻木真乃	シャニマス	S	SR	音、雨、パシャ、リ	イベント	2019/06/10
白瀬咲耶	シャニマス	P	SSR	幸福のリズム	恒常	2019/06/10
大崎甘奈	シャニマス	P	SR	ふたつの雨	イベント	2019/06/20
風野灯織	シャニマス	S	SSR	星合アステリズム	恒常	2019/06/20
八宮めぐる	シャニマス	P	SSR	シュカのまにまに	恒常	2019/06/20
ストレイライト	シャニマス	Straylight.run()				2019/06/30
桑山千雪	シャニマス	S	SR	こころに恋	恒常	2019/06/30
芹沢あさひ	シャニマス	P	SSR	ジャンプ！スタッグ！！！	恒常	2019/06/30
和泉愛依	シャニマス	S	SSR	なるんじゃん？	イベント	2019/06/30
幽谷霧子	シャニマス	S	SR	我・思・君・思	イベント	2019/07/10
月岡恋鐘	シャニマス	S	SSR	夏、どがんね～？	恒常	2019/07/10
西城樹里	シャニマス	P	SSR	曲がり角のランウェイ	恒常	2019/07/10
八宮めぐる	シャニマス	S	SR	サンシャインシエスタ！	限定	2019/07/19
黛冬優子	シャニマス	P	SR	水×天カイヤナイト	イベント	2019/07/19
田中摩美々	シャニマス	P	SSR	パープル・ミラージュ	限定	2019/07/19
越境イベント	シャニマス	サマー・ミーツ・ワンダーランド				2019/07/31
幽谷霧子	シャニマス	S	SSR	潜・潜・夏・娘	限定	2019/07/31
桑山千雪	シャニマス	P	SSR	サマーハニー・シーズン	限定	2019/07/31
杜野凛世	シャニマス	S	SSR	常夏CLIMAX	イベント	2019/07/31
風野灯織	シャニマス	P	SR	落下予測地点	恒常	2019/08/09
和泉愛依	シャニマス	P	SR	てへっ♪	イベント	2019/08/09
櫻木真乃	シャニマス	P	SSR	はじけてスマイル	恒常	2019/08/09
芹沢あさひ	シャニマス	S	SR	腹が減っては遊びはできぬ	恒常	2019/08/21
園田智代子	シャニマス	S	SR	Best☆Great☆サマー！	イベント	2019/08/21
小宮果穂	シャニマス	P	SSR	潮騒のシーショア	恒常	2019/08/21
アンティーカ	シャニマス	十五夜「おもちをつこう」				2019/08/31
三峰結華	シャニマス	P	SSR	NOT≠EQUAL	限定	2019/08/31
西城樹里	シャニマス	S	SSR	スリープオーバーベイビー	限定	2019/08/31
白瀬咲耶	シャニマス	S	SSR	月映えのソワレ	イベント	2019/08/31
芹沢あさひ	シャニマス	ファン感謝祭編				2019/09/10
黛冬優子	シャニマス	ファン感謝祭編				2019/09/10
和泉愛依	シャニマス	ファン感謝祭編				2019/09/10
風野灯織	シャニマス	S	SR	RPGのススメ	イベント	2019/09/10
幽谷霧子	シャニマス	P	SSR	菜・菜・輪・舞	恒常	2019/09/10
黛冬優子	シャニマス	S	SSR	スパイシーベリィデコレイト	恒常	2019/09/10
有栖川夏葉	シャニマス	S	SR	スタンド・バイ	恒常	2019/09/20
芹沢あさひ	シャニマス	P	SR	かしゃーんとがらがら	イベント	2019/09/20
杜野凛世	シャニマス	P	SSR	水色感情	恒常	2019/09/20
越境イベント	シャニマス	ミルキィウェイ61-世界と世界がまじわる夜に-				2019/09/30
田中摩美々	シャニマス	S	SSR	きまぐれのめぐみ	限定	2019/09/30
園田智代子	シャニマス	P	SSR	かきまぜたら＊ミルク	限定	2019/09/30
大崎甜花	シャニマス	S	SSR	トゥインクル・トゥインクル	イベント	2019/09/30
小宮果穂	シャニマス	P	SR	キャッチ・ザ・フォール！	恒常	2019/10/11
月岡恋鐘	シャニマス	S	SR	秋、どがんね～？	イベント	2019/10/11
和泉愛依	シャニマス	P	SSR	ちょっとあげる～	恒常	2019/10/11
桑山千雪	シャニマス	P	SR	ワン・モア・フラワリング	イベント	2019/10/21
三峰結華	シャニマス	S	SSR	賑やか四畳半	限定	2019/10/21
大崎甘奈	シャニマス	P	SSR	ないしょのスイーツ	限定	2019/10/21
越境イベント	シャニマス	283プロダクションー某月某日、面談ー				2019/10/24
イルミネーションスターズ	シャニマス	Star n dew by me				2019/10/31
櫻木真乃	シャニマス	P	SSR	深染め、いろみぐさ	限定	2019/10/31
風野灯織	シャニマス	S	SSR	星掬い藍仰ぐ	限定	2019/10/31
八宮めぐる	シャニマス	S	SSR	ああひかりよ	イベント	2019/10/31
小宮果穂	シャニマス	P	SR	窓辺・サイレントタイム	イベント	2019/11/11
白瀬咲耶	シャニマス	S	SSR	prince×princess	恒常	2019/11/11
大崎甜花	シャニマス	P	SSR	I♡DOLL	恒常	2019/11/11
園田智代子	シャニマス	S	SR	ぐるもこ・まふ×２	恒常	2019/11/20
有栖川夏葉	シャニマス	S	SR	夢追いランナバウト	イベント	2019/11/20
黛冬優子	シャニマス	P	SSR	オ♡フ♡レ♡コ	恒常	2019/11/20
大崎甘奈	シャニマス	S	SR	冬の日の『贈り物』	イベント	2019/11/30
田中摩美々	シャニマス	P	SSR	フィドル・ファドル	限定	2019/11/30
桑山千雪	シャニマス	S	SSR	ウォーム・スノウ	限定	2019/11/30
越境イベント	シャニマス	きよしこの夜、プレゼン・フォー・ユー！～お客様の中にサンタはいらっしゃいますかSP～				2019/12/13
三峰結華	シャニマス	S	SSR	プレゼントなら両手いっぱい	限定	2019/12/13
杜野凛世	シャニマス	P	SSR	十二月短篇	限定	2019/12/13
芹沢あさひ	シャニマス	S	SSR	プレゼン・バトン！	イベント	2019/12/13
月岡恋鐘	シャニマス	S	SR	冬、どがんね～？	恒常	2019/12/26
大崎甜花	シャニマス	P	SR	ストライク狙って	イベント	2019/12/26
八宮めぐる	シャニマス	P	SSR	日々を紡ぐインヴェルノ	恒常	2019/12/26
越境イベント	シャニマス	［MAKING］スノー・マジック！				2020/01/01
幽谷霧子	シャニマス	P	SSR	鱗・鱗・謹・賀	限定	2020/01/01
黛冬優子	シャニマス	S	SSR	ノー墨・勝者フェイス	限定	2020/01/01
田中摩美々	シャニマス	S	SSR	デタラメハッシュタグ	イベント	2020/01/01
園田智代子	シャニマス	P	SR	錯覚・Darling	限定	2020/01/10
和泉愛依	シャニマス	S	SR	和泉流・書道心得	イベント	2020/01/10
西城樹里	シャニマス	P	SSR	誰が為シンパシー	限定	2020/01/10
白瀬咲耶	シャニマス	P	SR	雪染めロマンティカ	イベント	2020/01/20
風野灯織	シャニマス	P	SSR	清閑に息をひそめて	恒常	2020/01/20
芹沢あさひ	シャニマス	S	SSR	あめ、ゆき、はれ	恒常	2020/01/20
放課後クライマックスガールズ	シャニマス	階段の先の君へ				2020/01/31
小宮果穂	シャニマス	P	SSR	エクストリーム・ブレイク！	限定	2020/01/31
園田智代子	シャニマス	S	SSR	おあがり←くらいまっくす	限定	2020/01/31
西城樹里	シャニマス	S	SSR	坂道だらけのこの街で	イベント	2020/01/31
杜野凛世	シャニマス	S	SR	をとめ辞典	イベント	2020/02/12
月岡恋鐘	シャニマス	P	SSR	うちのリボンは恋結び	恒常	2020/02/12
幽谷霧子	シャニマス	S	SSR	奇・綺・甘・甘	恒常	2020/02/12
櫻木真乃	シャニマス	S	SR	by to illuminate	恒常	2020/02/20
田中摩美々	シャニマス	P	SR	FANCY 24g	イベント	2020/02/20
和泉愛依	シャニマス	P	SSR	メイ・ビー	恒常	2020/02/20
アルストロメリア	シャニマス	薄桃色にこんがらがって				2020/02/29
大崎甘奈	シャニマス	P	SSR	お散歩サンライト	限定	2020/02/29
大崎甜花	シャニマス	S	SSR	見果てぬ先のアヴァロン	限定	2020/02/29
桑山千雪	シャニマス	S	SSR	ドゥワッチャラブ！	イベント	2020/02/29
櫻木真乃	シャニマス	P	SR	花結びゆくゆく	恒常	2020/03/10
風野灯織	シャニマス	S	SR	クローズ・トゥ・ユー	イベント	2020/03/10
桑山千雪	シャニマス	P	SSR	はるかぜまち、1番地	恒常	2020/03/10
八宮めぐる	シャニマス	P	SR	ハロー・ワールド	イベント	2020/03/19
有栖川夏葉	シャニマス	P	SSR	♡AKQJ10	恒常	2020/03/19
大崎甘奈	シャニマス	S	SSR	Cherry Jelly	恒常	2020/03/19
ストレイライト	シャニマス	WorldEnd:BreakDown				2020/04/01
芹沢あさひ	シャニマス	P	SSR	空と青とアイツ	限定	2020/04/01
和泉愛依	シャニマス	S	SSR	うち来る～！？	限定	2020/04/01
黛冬優子	シャニマス	S	SSR	＠ストーリィズ	イベント	2020/04/01
浅倉透	シャニマス	W.I.N.G編				2020/04/03
